psLayout version 3
match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q 	Q 	Q 	Q 	T 	T 	T 	T 	block	blockSizes 	qStarts	tStarts
	match	match		count	bases	count	bases		name 	size	start	end	name 	size	start	end	count			
---------------------------------------------------------------------------------------------------------------------------------------------------------------
187	14	0	0	2	31	2	42	+	LOC_Os03g03260	5711	2352	2584	Chr12	27487302	8018436	8018679	3	71,118,12,	2352,2445,2572,	8018436,8018528,8018667,
114	7	0	0	1	10	1	11	+	LOC_Os03g03260	5711	2448	2579	Chr12	27487302	4180064	4180196	2	89,32,	2448,2547,	4180064,4180164,
104	7	0	0	2	9	4	13	+	LOC_Os03g03260	5711	2439	2559	Chr12	27487302	19837151	19837275	5	9,12,49,6,35,	2439,2448,2462,2511,2524,	19837151,19837161,19837178,19837231,19837240,
83	8	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2448	2539	Chr12	27487302	21282437	21282528	1	91,	2448,	21282437,
174	12	0	0	1	25	1	14	+	LOC_Os03g03260	5711	2352	2563	Chr11	30181525	8676540	8676740	2	71,115,	2352,2448,	8676540,8676625,
133	12	0	0	1	27	3	30	+	LOC_Os03g03260	5711	2409	2581	Chr11	30181525	22837605	22837780	4	14,113,3,15,	2409,2450,2563,2566,	22837605,22837642,22837758,22837765,
130	9	0	0	2	5	2	17	+	LOC_Os03g03260	5711	2440	2584	Chr09	23125300	7865786	7865942	4	8,40,73,18,	2440,2448,2489,2566,	7865786,7865795,7865835,7865924,
119	8	0	0	1	9	1	11	+	LOC_Os03g03260	5711	2448	2584	Chr09	23125300	12490528	12490666	2	115,12,	2448,2572,	12490528,12490654,
145	8	0	0	3	28	2	29	+	LOC_Os03g03260	5711	2377	2558	Chr09	23125300	6334313	6334495	4	11,16,6,120,	2377,2407,2425,2438,	6334313,6334344,6334360,6334375,
130	6	0	0	3	21	3	20	+	LOC_Os03g03260	5711	2406	2563	Chr09	23125300	14037428	14037584	4	17,9,62,48,	2406,2439,2449,2515,	14037428,14037460,14037471,14037536,
177	15	0	0	1	17	2	18	+	LOC_Os03g03260	5711	2354	2563	Chr08	29168739	26626856	26627066	3	69,107,16,	2354,2440,2547,	26626856,26626941,26627050,
108	7	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2448	2563	Chr08	29168739	27337104	27337219	1	115,	2448,	27337104,
143	12	0	0	1	71	1	70	+	LOC_Os03g03260	5711	2355	2581	Chr08	29168739	25738310	25738535	2	13,142,	2355,2439,	25738310,25738393,
89	5	0	0	1	3	2	4	+	LOC_Os03g03260	5711	2440	2537	Chr08	29168739	19354617	19354715	4	8,48,5,33,	2440,2448,2496,2504,	19354617,19354626,19354677,19354682,
125	10	0	0	1	1	1	13	+	LOC_Os03g03260	5711	2448	2584	Chr06	31189045	26643093	26643241	2	122,13,	2448,2571,	26643093,26643228,
135	11	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2438	2584	Chr06	31189045	27524347	27524493	1	146,	2438,	27524347,
123	9	0	0	2	4	2	4	+	LOC_Os03g03260	5711	2448	2584	Chr06	31189045	26838162	26838298	4	41,48,12,31,	2448,2490,2541,2553,	26838162,26838203,26838253,26838267,
185	19	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2358	2562	Chr05	30954872	7552151	7552355	1	204,	2358,	7552151,
185	18	0	0	1	25	3	39	+	LOC_Os03g03260	5711	2356	2584	Chr05	30954872	21337119	21337361	4	67,115,3,18,	2356,2448,2563,2566,	21337119,21337213,21337335,21337343,
157	12	0	0	1	20	4	32	+	LOC_Os03g03260	5711	2395	2584	Chr05	30954872	3865421	3865622	5	38,9,101,3,18,	2395,2433,2462,2563,2566,	3865421,3865474,3865488,3865592,3865604,
121	6	0	0	1	4	2	20	+	LOC_Os03g03260	5711	2454	2585	Chr05	30954872	6013053	6013200	3	93,15,19,	2454,2547,2566,	6013053,6013150,6013181,
72	2	0	0	1	1	1	413	+	LOC_Os03g03260	5711	2436	2511	Chr05	30954872	18469668	18470155	3	12,41,21,	2436,2448,2490,	18469668,18470093,18470134,
107	8	0	0	1	15	0	0	+	LOC_Os03g03260	5711	2433	2563	Chr05	30954872	21411571	21411686	2	10,105,	2433,2458,	21411571,21411581,
142	11	0	0	2	76	2	93	+	LOC_Os03g03260	5711	2356	2585	Chr04	34192892	17669972	17670218	3	17,115,21,	2356,2448,2564,	17669972,17670069,17670197,
73	7	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2482	2562	Chr04	34192892	33147862	33147942	1	80,	2482,	33147862,
96	5	0	0	1	17	3	31	+	LOC_Os03g03260	5711	2399	2517	Chr04	34192892	32327509	32327641	4	24,8,63,6,	2399,2440,2448,2511,	32327509,32327559,32327568,32327635,
5699	12	0	0	0	0	2	53	+	LOC_Os03g03260	5711	0	5711	Chr03	38425022	1393373	1399137	3	2859,180,2672,	0,2859,3039,	1393373,1396284,1396465,
175	15	0	0	1	17	4	25	+	LOC_Os03g03260	5711	2356	2563	Chr03	38425022	37267812	37268027	5	67,8,105,4,6,	2356,2440,2448,2553,2557,	37267812,37267895,37267904,37268010,37268021,
179	9	0	0	4	44	3	47	+	LOC_Os03g03260	5711	2352	2584	Chr03	38425022	1030158	1030393	5	15,45,12,106,10,	2352,2378,2430,2457,2574,	1030158,1030186,1030253,1030265,1030383,
130	10	0	0	1	15	2	15	+	LOC_Os03g03260	5711	2407	2562	Chr03	38425022	18649066	18649221	3	18,8,114,	2407,2440,2448,	18649066,18649098,18649107,
90	5	0	0	1	16	1	16	+	LOC_Os03g03260	5711	2448	2559	Chr03	38425022	25657415	25657526	2	48,47,	2448,2512,	25657415,25657479,
96	6	0	0	1	9	1	12	+	LOC_Os03g03260	5711	2448	2559	Chr03	38425022	34002383	34002497	2	90,12,	2448,2547,	34002383,34002485,
191	12	0	0	3	33	4	48	+	LOC_Os03g03260	5711	2348	2584	Chr02	36468344	29482286	29482537	6	53,26,9,32,70,13,	2348,2407,2433,2457,2489,2571,	29482286,29482347,29482388,29482397,29482430,29482524,
146	11	0	0	2	16	3	18	+	LOC_Os03g03260	5711	2395	2568	Chr02	36468344	23501173	23501348	5	39,8,95,10,5,	2395,2434,2457,2552,2563,	23501173,23501227,23501235,23501331,23501343,
172	13	0	0	1	16	1	15	+	LOC_Os03g03260	5711	2352	2553	Chr01	44011168	42199663	42199863	2	70,115,	2352,2438,	42199663,42199748,
170	10	0	0	4	28	4	30	+	LOC_Os03g03260	5711	2376	2584	Chr01	44011168	39033890	39034100	7	57,10,26,4,6,67,10,	2376,2433,2458,2485,2490,2496,2574,	39033890,39033962,39033972,39034000,39034004,39034013,39034090,
88	5	0	0	0	0	0	0	+	LOC_Os03g03260	5711	2438	2531	Chr01	44011168	41263296	41263389	1	93,	2438,	41263296,
113	8	0	0	1	9	2	22	+	LOC_Os03g03260	5711	2454	2584	Chr01	44011168	42240757	42240900	3	99,10,12,	2454,2553,2572,	42240757,42240857,42240888,
137	12	0	0	1	17	2	17	+	LOC_Os03g03260	5711	2386	2552	Chr01	44011168	26360861	26361027	3	37,8,104,	2386,2440,2448,	26360861,26360914,26360923,
120	6	0	0	1	4	1	17	+	LOC_Os03g03260	5711	2454	2584	Chr01	44011168	10079837	10079980	2	116,10,	2454,2574,	10079837,10079970,
70	5	0	0	0	0	0	0	-	LOC_Os03g03260	5711	4607	4682	Chr12	27487302	2990592	2990667	1	75,	1029,	2990592,
